,organism,antibiotic,region,date,forecast
286,E-coli,Piperacillin with tazobactam,London,2025-11-01,15.320596
287,E-coli,Piperacillin with tazobactam,London,2025-12-01,15.564937
288,E-coli,Piperacillin with tazobactam,North East,2025-07-01,11.502977
289,E-coli,Piperacillin with tazobactam,North East,2025-08-01,11.47784
290,E-coli,Piperacillin with tazobactam,North East,2025-09-01,11.839928
291,E-coli,Piperacillin with tazobactam,North East,2025-10-01,11.885493
292,E-coli,Piperacillin with tazobactam,North East,2025-11-01,11.803508
293,E-coli,Piperacillin with tazobactam,North East,2025-12-01,11.74817
294,E-coli,Piperacillin with tazobactam,North West,2025-07-01,11.241806
295,E-coli,Piperacillin with tazobactam,North West,2025-08-01,11.382195
296,E-coli,Piperacillin with tazobactam,North West,2025-09-01,11.540997
297,E-coli,Piperacillin with tazobactam,North West,2025-10-01,11.706793
298,E-coli,Piperacillin with tazobactam,North West,2025-11-01,11.78466
299,E-coli,Piperacillin with tazobactam,North West,2025-12-01,11.76769
300,E-coli,Piperacillin with tazobactam,South East,2025-07-01,9.739716
301,E-coli,Piperacillin with tazobactam,South East,2025-08-01,9.537773
302,E-coli,Piperacillin with tazobactam,South East,2025-09-01,9.39485
303,E-coli,Piperacillin with tazobactam,South East,2025-10-01,9.434464
304,E-coli,Piperacillin with tazobactam,South East,2025-11-01,9.517345
305,E-coli,Piperacillin with tazobactam,South East,2025-12-01,9.5786085
306,E-coli,Piperacillin with tazobactam,South West,2025-07-01,10.402924
307,E-coli,Piperacillin with tazobactam,South West,2025-08-01,10.887138
308,E-coli,Piperacillin with tazobactam,South West,2025-09-01,10.833417
309,E-coli,Piperacillin with tazobactam,South West,2025-10-01,10.744144
310,E-coli,Piperacillin with tazobactam,South West,2025-11-01,10.539278
311,E-coli,Piperacillin with tazobactam,South West,2025-12-01,10.580945
312,E-coli,Piperacillin with tazobactam,West Midlands,2025-07-01,14.994008
313,E-coli,Piperacillin with tazobactam,West Midlands,2025-08-01,14.669125
314,E-coli,Piperacillin with tazobactam,West Midlands,2025-09-01,15.123552
315,E-coli,Piperacillin with tazobactam,West Midlands,2025-10-01,15.399504
316,E-coli,Piperacillin with tazobactam,West Midlands,2025-11-01,15.717741
317,E-coli,Piperacillin with tazobactam,West Midlands,2025-12-01,15.896006
318,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-07-01,11.855959
319,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-08-01,12.08816
320,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-09-01,11.269003
321,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-10-01,11.254218
322,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-11-01,11.381745
323,E-coli,Piperacillin with tazobactam,Yorkshire and Humber,2025-12-01,11.608989
324,E-coli,Third Generation Cephalosporins,East Midlands,2025-07-01,16.851469
325,E-coli,Third Generation Cephalosporins,East Midlands,2025-08-01,17.556019
326,E-coli,Third Generation Cephalosporins,East Midlands,2025-09-01,18.084383
327,E-coli,Third Generation Cephalosporins,East Midlands,2025-10-01,18.554213
328,E-coli,Third Generation Cephalosporins,East Midlands,2025-11-01,18.819065
329,E-coli,Third Generation Cephalosporins,East Midlands,2025-12-01,18.87959
330,E-coli,Third Generation Cephalosporins,East of England,2025-07-01,16.135393
331,E-coli,Third Generation Cephalosporins,East of England,2025-08-01,15.876934
332,E-coli,Third Generation Cephalosporins,East of England,2025-09-01,16.020397
333,E-coli,Third Generation Cephalosporins,East of England,2025-10-01,16.187204
334,E-coli,Third Generation Cephalosporins,East of England,2025-11-01,16.20807
335,E-coli,Third Generation Cephalosporins,East of England,2025-12-01,16.184017
336,E-coli,Third Generation Cephalosporins,London,2025-07-01,27.40302
337,E-coli,Third Generation Cephalosporins,London,2025-08-01,27.2604
338,E-coli,Third Generation Cephalosporins,London,2025-09-01,27.025185
339,E-coli,Third Generation Cephalosporins,London,2025-10-01,26.324646
340,E-coli,Third Generation Cephalosporins,London,2025-11-01,26.23545
341,E-coli,Third Generation Cephalosporins,London,2025-12-01,25.835241
