,geography,stratum,date,organism,resistance_pct,series_id,model_region,prescribing_rate,month
191,North East,Amikacin,2022-06-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.62,6
192,North East,Amikacin,2022-07-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.62,7
193,North East,Amikacin,2022-08-01,E-coli,0.68,E-coli__Amikacin__North East,North East and Yorkshire,1.63,8
194,North East,Amikacin,2022-09-01,E-coli,1.24,E-coli__Amikacin__North East,North East and Yorkshire,1.62,9
195,North East,Amikacin,2022-10-01,E-coli,1.34,E-coli__Amikacin__North East,North East and Yorkshire,1.63,10
196,North East,Amikacin,2022-11-01,E-coli,1.29,E-coli__Amikacin__North East,North East and Yorkshire,1.63,11
197,North East,Amikacin,2022-12-01,E-coli,0.67,E-coli__Amikacin__North East,North East and Yorkshire,1.69,12
198,North East,Amikacin,2023-01-01,E-coli,0.62,E-coli__Amikacin__North East,North East and Yorkshire,1.74,1
199,North East,Amikacin,2023-02-01,E-coli,0.65,E-coli__Amikacin__North East,North East and Yorkshire,1.76,2
200,North East,Amikacin,2023-03-01,E-coli,1.18,E-coli__Amikacin__North East,North East and Yorkshire,1.78,3
201,North East,Amikacin,2023-04-01,E-coli,2.73,E-coli__Amikacin__North East,North East and Yorkshire,1.78,4
202,North East,Amikacin,2023-05-01,E-coli,2.42,E-coli__Amikacin__North East,North East and Yorkshire,1.79,5
203,North East,Amikacin,2023-06-01,E-coli,2.26,E-coli__Amikacin__North East,North East and Yorkshire,1.79,6
204,North East,Amikacin,2023-07-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.79,7
205,North East,Amikacin,2023-08-01,E-coli,0.83,E-coli__Amikacin__North East,North East and Yorkshire,1.79,8
206,North East,Amikacin,2023-09-01,E-coli,0.77,E-coli__Amikacin__North East,North East and Yorkshire,1.79,9
207,North East,Amikacin,2023-10-01,E-coli,0.81,E-coli__Amikacin__North East,North East and Yorkshire,1.8,10
208,North East,Amikacin,2023-11-01,E-coli,0.0,E-coli__Amikacin__North East,North East and Yorkshire,1.79,11
209,North East,Amikacin,2023-12-01,E-coli,4.04,E-coli__Amikacin__North East,North East and Yorkshire,1.74,12
210,North East,Amikacin,2024-01-01,E-coli,3.92,E-coli__Amikacin__North East,North East and Yorkshire,1.74,1
211,North East,Amikacin,2024-02-01,E-coli,4.67,E-coli__Amikacin__North East,North East and Yorkshire,1.74,2
212,North East,Amikacin,2024-03-01,E-coli,1.72,E-coli__Amikacin__North East,North East and Yorkshire,1.73,3
213,North East,Amikacin,2024-04-01,E-coli,3.7,E-coli__Amikacin__North East,North East and Yorkshire,1.75,4
214,North East,Amikacin,2024-05-01,E-coli,2.65,E-coli__Amikacin__North East,North East and Yorkshire,1.75,5
215,North East,Amikacin,2024-06-01,E-coli,1.87,E-coli__Amikacin__North East,North East and Yorkshire,1.74,6
216,North East,Amikacin,2024-07-01,E-coli,0.82,E-coli__Amikacin__North East,North East and Yorkshire,1.75,7
217,North East,Amikacin,2024-08-01,E-coli,0.84,E-coli__Amikacin__North East,North East and Yorkshire,1.73,8
218,North East,Amikacin,2024-09-01,E-coli,0.75,E-coli__Amikacin__North East,North East and Yorkshire,1.73,9
219,North East,Amikacin,2024-10-01,E-coli,0.8,E-coli__Amikacin__North East,North East and Yorkshire,1.72,10
220,North East,Amikacin,2024-11-01,E-coli,1.63,E-coli__Amikacin__North East,North East and Yorkshire,1.71,11
221,North East,Amikacin,2024-12-01,E-coli,2.54,E-coli__Amikacin__North East,North East and Yorkshire,1.7,12
222,North East,Amikacin,2025-01-01,E-coli,3.79,E-coli__Amikacin__North East,North East and Yorkshire,1.68,1
223,North East,Amikacin,2025-02-01,E-coli,5.47,E-coli__Amikacin__North East,North East and Yorkshire,1.66,2
224,North East,Amikacin,2025-03-01,E-coli,4.55,E-coli__Amikacin__North East,North East and Yorkshire,1.64,3
225,North East,Amikacin,2025-04-01,E-coli,2.46,E-coli__Amikacin__North East,North East and Yorkshire,1.62,4
226,North East,Amikacin,2025-05-01,E-coli,1.45,E-coli__Amikacin__North East,North East and Yorkshire,1.6,5
227,North East,Amikacin,2025-06-01,E-coli,2.31,E-coli__Amikacin__North East,North East and Yorkshire,1.59,6
228,North West,Amikacin,2020-10-01,E-coli,0.25,E-coli__Amikacin__North West,North West,1.57,10
229,North West,Amikacin,2020-11-01,E-coli,0.78,E-coli__Amikacin__North West,North West,1.54,11
230,North West,Amikacin,2020-12-01,E-coli,0.82,E-coli__Amikacin__North West,North West,1.49,12
231,North West,Amikacin,2021-01-01,E-coli,1.16,E-coli__Amikacin__North West,North West,1.43,1
232,North West,Amikacin,2021-02-01,E-coli,0.62,E-coli__Amikacin__North West,North West,1.39,2
233,North West,Amikacin,2021-03-01,E-coli,0.46,E-coli__Amikacin__North West,North West,1.36,3
234,North West,Amikacin,2021-04-01,E-coli,0.29,E-coli__Amikacin__North West,North West,1.35,4
235,North West,Amikacin,2021-05-01,E-coli,1.21,E-coli__Amikacin__North West,North West,1.35,5
236,North West,Amikacin,2021-06-01,E-coli,1.32,E-coli__Amikacin__North West,North West,1.37,6
237,North West,Amikacin,2021-07-01,E-coli,1.37,E-coli__Amikacin__North West,North West,1.39,7
238,North West,Amikacin,2021-08-01,E-coli,0.74,E-coli__Amikacin__North West,North West,1.4,8
239,North West,Amikacin,2021-09-01,E-coli,1.05,E-coli__Amikacin__North West,North West,1.42,9
240,North West,Amikacin,2021-10-01,E-coli,1.61,E-coli__Amikacin__North West,North West,1.45,10
241,North West,Amikacin,2021-11-01,E-coli,1.85,E-coli__Amikacin__North West,North West,1.49,11
242,North West,Amikacin,2021-12-01,E-coli,2.58,E-coli__Amikacin__North West,North West,1.53,12
243,North West,Amikacin,2022-01-01,E-coli,2.86,E-coli__Amikacin__North West,North West,1.53,1
244,North West,Amikacin,2022-02-01,E-coli,2.9,E-coli__Amikacin__North West,North West,1.55,2
245,North West,Amikacin,2022-03-01,E-coli,2.34,E-coli__Amikacin__North West,North West,1.58,3
246,North West,Amikacin,2022-04-01,E-coli,2.12,E-coli__Amikacin__North West,North West,1.61,4
247,North West,Amikacin,2022-05-01,E-coli,1.83,E-coli__Amikacin__North West,North West,1.63,5
248,North West,Amikacin,2022-06-01,E-coli,2.48,E-coli__Amikacin__North West,North West,1.64,6
249,North West,Amikacin,2022-07-01,E-coli,2.91,E-coli__Amikacin__North West,North West,1.65,7
250,North West,Amikacin,2022-08-01,E-coli,3.79,E-coli__Amikacin__North West,North West,1.66,8
251,North West,Amikacin,2022-09-01,E-coli,3.24,E-coli__Amikacin__North West,North West,1.65,9
252,North West,Amikacin,2022-10-01,E-coli,2.78,E-coli__Amikacin__North West,North West,1.65,10
253,North West,Amikacin,2022-11-01,E-coli,3.0,E-coli__Amikacin__North West,North West,1.65,11
254,North West,Amikacin,2022-12-01,E-coli,4.25,E-coli__Amikacin__North West,North West,1.72,12
255,North West,Amikacin,2023-01-01,E-coli,4.77,E-coli__Amikacin__North West,North West,1.77,1
256,North West,Amikacin,2023-02-01,E-coli,4.45,E-coli__Amikacin__North West,North West,1.8,2
257,North West,Amikacin,2023-03-01,E-coli,2.8,E-coli__Amikacin__North West,North West,1.81,3
258,North West,Amikacin,2023-04-01,E-coli,2.46,E-coli__Amikacin__North West,North West,1.81,4
