date,series_id,value
2022-04-01,E-coli__Amikacin__Yorkshire and Humber,2.94
2022-05-01,E-coli__Amikacin__Yorkshire and Humber,3.45
2022-06-01,E-coli__Amikacin__Yorkshire and Humber,5.26
2022-07-01,E-coli__Amikacin__Yorkshire and Humber,6.84
2022-08-01,E-coli__Amikacin__Yorkshire and Humber,4.29
2022-09-01,E-coli__Amikacin__Yorkshire and Humber,2.04
2022-10-01,E-coli__Amikacin__Yorkshire and Humber,1.96
2022-11-01,E-coli__Amikacin__Yorkshire and Humber,2.26
2022-12-01,E-coli__Amikacin__Yorkshire and Humber,2.46
2023-01-01,E-coli__Amikacin__Yorkshire and Humber,1.67
2023-02-01,E-coli__Amikacin__Yorkshire and Humber,2.36
2023-03-01,E-coli__Amikacin__Yorkshire and Humber,3.48
2023-04-01,E-coli__Amikacin__Yorkshire and Humber,4.17
2023-05-01,E-coli__Amikacin__Yorkshire and Humber,3.06
2023-06-01,E-coli__Amikacin__Yorkshire and Humber,2.5
2023-07-01,E-coli__Amikacin__Yorkshire and Humber,2.13
2023-08-01,E-coli__Amikacin__Yorkshire and Humber,1.53
2023-09-01,E-coli__Amikacin__Yorkshire and Humber,1.5
2023-10-01,E-coli__Amikacin__Yorkshire and Humber,2.61
2023-11-01,E-coli__Amikacin__Yorkshire and Humber,5.31
2023-12-01,E-coli__Amikacin__Yorkshire and Humber,6.38
2024-01-01,E-coli__Amikacin__Yorkshire and Humber,4.21
2024-02-01,E-coli__Amikacin__Yorkshire and Humber,4.26
2024-03-01,E-coli__Amikacin__Yorkshire and Humber,4.44
2024-04-01,E-coli__Amikacin__Yorkshire and Humber,4.08
2024-05-01,E-coli__Amikacin__Yorkshire and Humber,4.31
2024-06-01,E-coli__Amikacin__Yorkshire and Humber,5.04
2024-07-01,E-coli__Amikacin__Yorkshire and Humber,5.51
2024-08-01,E-coli__Amikacin__Yorkshire and Humber,2.56
2024-09-01,E-coli__Amikacin__Yorkshire and Humber,1.6
2024-10-01,E-coli__Amikacin__Yorkshire and Humber,1.98
2024-11-01,E-coli__Amikacin__Yorkshire and Humber,3.28
2024-12-01,E-coli__Amikacin__Yorkshire and Humber,5.92
2025-01-01,E-coli__Amikacin__Yorkshire and Humber,7.43
2025-02-01,E-coli__Amikacin__Yorkshire and Humber,6.25
2025-03-01,E-coli__Amikacin__Yorkshire and Humber,3.33
2025-04-01,E-coli__Amikacin__Yorkshire and Humber,3.12
2025-05-01,E-coli__Amikacin__Yorkshire and Humber,3.07
2025-06-01,E-coli__Amikacin__Yorkshire and Humber,3.43
2021-10-01,E-coli__Carbapenems__East Midlands,0.12
2021-11-01,E-coli__Carbapenems__East Midlands,0.13
2021-12-01,E-coli__Carbapenems__East Midlands,0.14
2022-01-01,E-coli__Carbapenems__East Midlands,0.15
2022-02-01,E-coli__Carbapenems__East Midlands,0.0
2022-03-01,E-coli__Carbapenems__East Midlands,0.15
2022-04-01,E-coli__Carbapenems__East Midlands,0.14
2022-05-01,E-coli__Carbapenems__East Midlands,0.27
2022-06-01,E-coli__Carbapenems__East Midlands,0.13
2022-07-01,E-coli__Carbapenems__East Midlands,0.26
2022-08-01,E-coli__Carbapenems__East Midlands,0.12
2022-09-01,E-coli__Carbapenems__East Midlands,0.12
2022-10-01,E-coli__Carbapenems__East Midlands,0.12
2022-11-01,E-coli__Carbapenems__East Midlands,0.25
2022-12-01,E-coli__Carbapenems__East Midlands,0.27
2023-01-01,E-coli__Carbapenems__East Midlands,0.13
2023-02-01,E-coli__Carbapenems__East Midlands,0.0
2023-03-01,E-coli__Carbapenems__East Midlands,0.0
2023-04-01,E-coli__Carbapenems__East Midlands,0.0
2023-05-01,E-coli__Carbapenems__East Midlands,0.0
2023-06-01,E-coli__Carbapenems__East Midlands,0.0
2023-07-01,E-coli__Carbapenems__East Midlands,0.12
2023-08-01,E-coli__Carbapenems__East Midlands,0.12
2023-09-01,E-coli__Carbapenems__East Midlands,0.11
2023-10-01,E-coli__Carbapenems__East Midlands,0.0
2023-11-01,E-coli__Carbapenems__East Midlands,0.11
2023-12-01,E-coli__Carbapenems__East Midlands,0.12
2024-01-01,E-coli__Carbapenems__East Midlands,0.25
2024-02-01,E-coli__Carbapenems__East Midlands,0.5
2024-03-01,E-coli__Carbapenems__East Midlands,0.49
2024-04-01,E-coli__Carbapenems__East Midlands,0.36
2024-05-01,E-coli__Carbapenems__East Midlands,0.0
2024-06-01,E-coli__Carbapenems__East Midlands,0.12
2024-07-01,E-coli__Carbapenems__East Midlands,0.11
2024-08-01,E-coli__Carbapenems__East Midlands,0.21
2024-09-01,E-coli__Carbapenems__East Midlands,0.11
2024-10-01,E-coli__Carbapenems__East Midlands,0.31
2024-11-01,E-coli__Carbapenems__East Midlands,0.2
2024-12-01,E-coli__Carbapenems__East Midlands,0.3
2025-01-01,E-coli__Carbapenems__East Midlands,0.33
2025-02-01,E-coli__Carbapenems__East Midlands,0.36
2025-03-01,E-coli__Carbapenems__East Midlands,0.35
2025-04-01,E-coli__Carbapenems__East Midlands,0.34
2025-05-01,E-coli__Carbapenems__East Midlands,0.31
2025-06-01,E-coli__Carbapenems__East Midlands,0.3
2021-10-01,E-coli__Carbapenems__East of England,0.1
2021-11-01,E-coli__Carbapenems__East of England,0.1
2021-12-01,E-coli__Carbapenems__East of England,0.0
2022-01-01,E-coli__Carbapenems__East of England,0.0
2022-02-01,E-coli__Carbapenems__East of England,0.0
2022-03-01,E-coli__Carbapenems__East of England,0.12
2022-04-01,E-coli__Carbapenems__East of England,0.11
2022-05-01,E-coli__Carbapenems__East of England,0.11
2022-06-01,E-coli__Carbapenems__East of England,0.0
2022-07-01,E-coli__Carbapenems__East of England,0.0
2022-08-01,E-coli__Carbapenems__East of England,0.0
2022-09-01,E-coli__Carbapenems__East of England,0.19
2022-10-01,E-coli__Carbapenems__East of England,0.19
2022-11-01,E-coli__Carbapenems__East of England,0.2
2022-12-01,E-coli__Carbapenems__East of England,0.11
2023-01-01,E-coli__Carbapenems__East of England,0.32
2023-02-01,E-coli__Carbapenems__East of England,0.34
2023-03-01,E-coli__Carbapenems__East of England,0.21
2023-04-01,E-coli__Carbapenems__East of England,0.21
