geography,stratum,date,organism,resistance_pct
East Midlands,Gentamicin,2023-12-01,E-coli,8.66
East Midlands,Gentamicin,2024-01-01,E-coli,9.97
East Midlands,Gentamicin,2024-02-01,E-coli,10.45
East Midlands,Gentamicin,2024-03-01,E-coli,11.68
East Midlands,Gentamicin,2024-04-01,E-coli,11.76
East Midlands,Gentamicin,2024-05-01,E-coli,10.46
East Midlands,Gentamicin,2024-06-01,E-coli,10.54
East Midlands,Gentamicin,2024-07-01,E-coli,10.12
East Midlands,Gentamicin,2024-08-01,E-coli,9.84
East Midlands,Gentamicin,2024-09-01,E-coli,9.01
East Midlands,Gentamicin,2024-10-01,E-coli,8.61
East Midlands,Gentamicin,2024-11-01,E-coli,9.71
East Midlands,Gentamicin,2024-12-01,E-coli,10.38
East Midlands,Gentamicin,2025-01-01,E-coli,10.09
East Midlands,Gentamicin,2025-02-01,E-coli,11.41
East Midlands,Gentamicin,2025-03-01,E-coli,11.11
East Midlands,Gentamicin,2025-04-01,E-coli,11.92
East Midlands,Gentamicin,2025-05-01,E-coli,10.3
East Midlands,Gentamicin,2025-06-01,E-coli,9.68
East Midlands,Piperacillin with tazobactam,2020-10-01,E-coli,4.85
East Midlands,Piperacillin with tazobactam,2020-11-01,E-coli,5.85
East Midlands,Piperacillin with tazobactam,2020-12-01,E-coli,6.02
East Midlands,Piperacillin with tazobactam,2021-01-01,E-coli,7.37
East Midlands,Piperacillin with tazobactam,2021-02-01,E-coli,7.74
East Midlands,Piperacillin with tazobactam,2021-03-01,E-coli,7.94
East Midlands,Piperacillin with tazobactam,2021-04-01,E-coli,9.6
East Midlands,Piperacillin with tazobactam,2021-05-01,E-coli,10.14
East Midlands,Piperacillin with tazobactam,2021-06-01,E-coli,10.34
East Midlands,Piperacillin with tazobactam,2021-07-01,E-coli,8.04
East Midlands,Piperacillin with tazobactam,2021-08-01,E-coli,7.75
East Midlands,Piperacillin with tazobactam,2021-09-01,E-coli,8.6
East Midlands,Piperacillin with tazobactam,2021-10-01,E-coli,10.18
East Midlands,Piperacillin with tazobactam,2021-11-01,E-coli,10.7
East Midlands,Piperacillin with tazobactam,2021-12-01,E-coli,9.16
East Midlands,Piperacillin with tazobactam,2022-01-01,E-coli,8.92
East Midlands,Piperacillin with tazobactam,2022-02-01,E-coli,8.89
East Midlands,Piperacillin with tazobactam,2022-03-01,E-coli,9.16
East Midlands,Piperacillin with tazobactam,2022-04-01,E-coli,8.98
East Midlands,Piperacillin with tazobactam,2022-05-01,E-coli,9.09
East Midlands,Piperacillin with tazobactam,2022-06-01,E-coli,10.41
East Midlands,Piperacillin with tazobactam,2022-07-01,E-coli,11.62
East Midlands,Piperacillin with tazobactam,2022-08-01,E-coli,11.39
East Midlands,Piperacillin with tazobactam,2022-09-01,E-coli,11.48
East Midlands,Piperacillin with tazobactam,2022-10-01,E-coli,11.03
East Midlands,Piperacillin with tazobactam,2022-11-01,E-coli,11.08
East Midlands,Piperacillin with tazobactam,2022-12-01,E-coli,10.03
East Midlands,Piperacillin with tazobactam,2023-01-01,E-coli,8.8
East Midlands,Piperacillin with tazobactam,2023-02-01,E-coli,10.13
East Midlands,Piperacillin with tazobactam,2023-03-01,E-coli,11.28
East Midlands,Piperacillin with tazobactam,2023-04-01,E-coli,13.6
East Midlands,Piperacillin with tazobactam,2023-05-01,E-coli,11.6
East Midlands,Piperacillin with tazobactam,2023-06-01,E-coli,11.05
East Midlands,Piperacillin with tazobactam,2023-07-01,E-coli,10.75
East Midlands,Piperacillin with tazobactam,2023-08-01,E-coli,12.29
East Midlands,Piperacillin with tazobactam,2023-09-01,E-coli,12.33
East Midlands,Piperacillin with tazobactam,2023-10-01,E-coli,12.17
East Midlands,Piperacillin with tazobactam,2023-11-01,E-coli,12.09
East Midlands,Piperacillin with tazobactam,2023-12-01,E-coli,12.01
East Midlands,Piperacillin with tazobactam,2024-01-01,E-coli,11.69
East Midlands,Piperacillin with tazobactam,2024-02-01,E-coli,12.48
East Midlands,Piperacillin with tazobactam,2024-03-01,E-coli,12.67
East Midlands,Piperacillin with tazobactam,2024-04-01,E-coli,12.98
East Midlands,Piperacillin with tazobactam,2024-05-01,E-coli,11.63
East Midlands,Piperacillin with tazobactam,2024-06-01,E-coli,11.97
East Midlands,Piperacillin with tazobactam,2024-07-01,E-coli,11.98
East Midlands,Piperacillin with tazobactam,2024-08-01,E-coli,11.0
