date,series_id,value,is_forecast,model
2023-11-01,E-coli__Amikacin__South East,2.23,False,xgb
2023-12-01,E-coli__Amikacin__South East,1.82,False,xgb
2024-01-01,E-coli__Amikacin__South East,1.81,False,xgb
2024-02-01,E-coli__Amikacin__South East,2.07,False,xgb
2024-03-01,E-coli__Amikacin__South East,2.29,False,xgb
2024-04-01,E-coli__Amikacin__South East,2.8,False,xgb
2024-05-01,E-coli__Amikacin__South East,3.3,False,xgb
2024-06-01,E-coli__Amikacin__South East,2.63,False,xgb
2024-07-01,E-coli__Amikacin__South East,2.85,False,xgb
2024-08-01,E-coli__Amikacin__South East,2.58,False,xgb
2024-09-01,E-coli__Amikacin__South East,3.08,False,xgb
2024-10-01,E-coli__Amikacin__South East,2.69,False,xgb
2024-11-01,E-coli__Amikacin__South East,2.35,False,xgb
2024-12-01,E-coli__Amikacin__South East,2.38,False,xgb
2025-01-01,E-coli__Amikacin__South East,2.58,False,xgb
2025-02-01,E-coli__Amikacin__South East,3.1,False,xgb
2025-03-01,E-coli__Amikacin__South East,2.69,False,xgb
2025-04-01,E-coli__Amikacin__South East,2.21,False,xgb
2025-05-01,E-coli__Amikacin__South East,1.71,False,xgb
2025-06-01,E-coli__Amikacin__South East,1.82,False,xgb
2025-07-01,E-coli__Amikacin__South East,2.0442652702331543,True,xgb
2025-08-01,E-coli__Amikacin__South East,2.0255212783813477,True,xgb
2025-09-01,E-coli__Amikacin__South East,1.8197544813156128,True,xgb
2025-10-01,E-coli__Amikacin__South East,1.8590697050094604,True,xgb
2025-11-01,E-coli__Amikacin__South East,1.8724067211151123,True,xgb
2025-12-01,E-coli__Amikacin__South East,2.0751781463623047,True,xgb
2021-10-01,E-coli__Amikacin__South West,0.76,False,xgb
2021-11-01,E-coli__Amikacin__South West,1.8,False,xgb
2021-12-01,E-coli__Amikacin__South West,1.7,False,xgb
2022-01-01,E-coli__Amikacin__South West,1.49,False,xgb
2022-02-01,E-coli__Amikacin__South West,0.67,False,xgb
2022-03-01,E-coli__Amikacin__South West,0.68,False,xgb
2022-04-01,E-coli__Amikacin__South West,0.68,False,xgb
2022-05-01,E-coli__Amikacin__South West,1.11,False,xgb
2022-06-01,E-coli__Amikacin__South West,1.23,False,xgb
2022-07-01,E-coli__Amikacin__South West,1.75,False,xgb
2022-08-01,E-coli__Amikacin__South West,1.8,False,xgb
2022-09-01,E-coli__Amikacin__South West,1.61,False,xgb
2022-10-01,E-coli__Amikacin__South West,1.43,False,xgb
2022-11-01,E-coli__Amikacin__South West,1.26,False,xgb
2022-12-01,E-coli__Amikacin__South West,1.55,False,xgb
2023-01-01,E-coli__Amikacin__South West,1.2,False,xgb
2023-02-01,E-coli__Amikacin__South West,1.04,False,xgb
2023-03-01,E-coli__Amikacin__South West,1.18,False,xgb
2023-04-01,E-coli__Amikacin__South West,1.89,False,xgb
2023-05-01,E-coli__Amikacin__South West,2.28,False,xgb
2023-06-01,E-coli__Amikacin__South West,2.75,False,xgb
2023-07-01,E-coli__Amikacin__South West,2.16,False,xgb
2023-08-01,E-coli__Amikacin__South West,1.86,False,xgb
2023-09-01,E-coli__Amikacin__South West,1.94,False,xgb
2023-10-01,E-coli__Amikacin__South West,1.91,False,xgb
2023-11-01,E-coli__Amikacin__South West,2.42,False,xgb
2023-12-01,E-coli__Amikacin__South West,2.36,False,xgb
2024-01-01,E-coli__Amikacin__South West,2.86,False,xgb
2024-02-01,E-coli__Amikacin__South West,1.98,False,xgb
2024-03-01,E-coli__Amikacin__South West,1.38,False,xgb
2024-04-01,E-coli__Amikacin__South West,1.24,False,xgb
2024-05-01,E-coli__Amikacin__South West,2.5,False,xgb
2024-06-01,E-coli__Amikacin__South West,2.35,False,xgb
2024-07-01,E-coli__Amikacin__South West,3.1,False,xgb
2024-08-01,E-coli__Amikacin__South West,2.51,False,xgb
2024-09-01,E-coli__Amikacin__South West,2.58,False,xgb
2024-10-01,E-coli__Amikacin__South West,2.04,False,xgb
2024-11-01,E-coli__Amikacin__South West,2.03,False,xgb
2024-12-01,E-coli__Amikacin__South West,2.03,False,xgb
2025-01-01,E-coli__Amikacin__South West,1.88,False,xgb
2025-02-01,E-coli__Amikacin__South West,2.19,False,xgb
2025-03-01,E-coli__Amikacin__South West,2.66,False,xgb
2025-04-01,E-coli__Amikacin__South West,1.9,False,xgb
2025-05-01,E-coli__Amikacin__South West,2.29,False,xgb
2025-06-01,E-coli__Amikacin__South West,1.84,False,xgb
2025-07-01,E-coli__Amikacin__South West,2.0302634239196777,True,xgb
2025-08-01,E-coli__Amikacin__South West,2.0038905143737793,True,xgb
2025-09-01,E-coli__Amikacin__South West,2.4534246921539307,True,xgb
2025-10-01,E-coli__Amikacin__South West,2.347407817840576,True,xgb
2025-11-01,E-coli__Amikacin__South West,2.7937185764312744,True,xgb
2025-12-01,E-coli__Amikacin__South West,2.0628066062927246,True,xgb
2021-10-01,E-coli__Amikacin__West Midlands,1.79,False,xgb
2021-11-01,E-coli__Amikacin__West Midlands,1.47,False,xgb
2021-12-01,E-coli__Amikacin__West Midlands,1.88,False,xgb
2022-01-01,E-coli__Amikacin__West Midlands,0.96,False,xgb
2022-02-01,E-coli__Amikacin__West Midlands,1.34,False,xgb
2022-03-01,E-coli__Amikacin__West Midlands,1.82,False,xgb
2022-04-01,E-coli__Amikacin__West Midlands,2.38,False,xgb
2022-05-01,E-coli__Amikacin__West Midlands,2.31,False,xgb
2022-06-01,E-coli__Amikacin__West Midlands,1.92,False,xgb
2022-07-01,E-coli__Amikacin__West Midlands,2.19,False,xgb
2022-08-01,E-coli__Amikacin__West Midlands,2.37,False,xgb
2022-09-01,E-coli__Amikacin__West Midlands,2.58,False,xgb
2022-10-01,E-coli__Amikacin__West Midlands,3.7,False,xgb
2022-11-01,E-coli__Amikacin__West Midlands,4.05,False,xgb
2022-12-01,E-coli__Amikacin__West Midlands,4.33,False,xgb
2023-01-01,E-coli__Amikacin__West Midlands,2.71,False,xgb
2023-02-01,E-coli__Amikacin__West Midlands,2.24,False,xgb
2023-03-01,E-coli__Amikacin__West Midlands,2.39,False,xgb
2023-04-01,E-coli__Amikacin__West Midlands,2.68,False,xgb
2023-05-01,E-coli__Amikacin__West Midlands,2.98,False,xgb
2023-06-01,E-coli__Amikacin__West Midlands,3.72,False,xgb
2023-07-01,E-coli__Amikacin__West Midlands,5.11,False,xgb
2023-08-01,E-coli__Amikacin__West Midlands,5.29,False,xgb
2023-09-01,E-coli__Amikacin__West Midlands,4.95,False,xgb
2023-10-01,E-coli__Amikacin__West Midlands,4.27,False,xgb
2023-11-01,E-coli__Amikacin__West Midlands,3.86,False,xgb
2023-12-01,E-coli__Amikacin__West Midlands,3.12,False,xgb
2024-01-01,E-coli__Amikacin__West Midlands,3.5,False,xgb
2024-02-01,E-coli__Amikacin__West Midlands,4.19,False,xgb
2024-03-01,E-coli__Amikacin__West Midlands,5.1,False,xgb
2024-04-01,E-coli__Amikacin__West Midlands,3.77,False,xgb
2024-05-01,E-coli__Amikacin__West Midlands,3.59,False,xgb
2024-06-01,E-coli__Amikacin__West Midlands,2.86,False,xgb
2024-07-01,E-coli__Amikacin__West Midlands,3.36,False,xgb
2024-08-01,E-coli__Amikacin__West Midlands,3.13,False,xgb
2024-09-01,E-coli__Amikacin__West Midlands,3.73,False,xgb
2024-10-01,E-coli__Amikacin__West Midlands,4.68,False,xgb
2024-11-01,E-coli__Amikacin__West Midlands,5.18,False,xgb
2024-12-01,E-coli__Amikacin__West Midlands,5.54,False,xgb
2025-01-01,E-coli__Amikacin__West Midlands,4.65,False,xgb
2025-02-01,E-coli__Amikacin__West Midlands,3.93,False,xgb
2025-03-01,E-coli__Amikacin__West Midlands,4.05,False,xgb
2025-04-01,E-coli__Amikacin__West Midlands,3.85,False,xgb
2025-05-01,E-coli__Amikacin__West Midlands,4.76,False,xgb
2025-06-01,E-coli__Amikacin__West Midlands,4.38,False,xgb
2025-07-01,E-coli__Amikacin__West Midlands,4.79028844833374,True,xgb
2025-08-01,E-coli__Amikacin__West Midlands,4.038034915924072,True,xgb
2025-09-01,E-coli__Amikacin__West Midlands,3.716214895248413,True,xgb
2025-10-01,E-coli__Amikacin__West Midlands,4.001368522644043,True,xgb
2025-11-01,E-coli__Amikacin__West Midlands,4.630780220031738,True,xgb
2025-12-01,E-coli__Amikacin__West Midlands,4.693233966827393,True,xgb
2021-10-01,E-coli__Amikacin__Yorkshire and Humber,4.26,False,xgb
2021-11-01,E-coli__Amikacin__Yorkshire and Humber,4.57,False,xgb
2021-12-01,E-coli__Amikacin__Yorkshire and Humber,5.59,False,xgb
2022-01-01,E-coli__Amikacin__Yorkshire and Humber,4.14,False,xgb
2022-02-01,E-coli__Amikacin__Yorkshire and Humber,4.29,False,xgb
2022-03-01,E-coli__Amikacin__Yorkshire and Humber,3.5,False,xgb
2022-04-01,E-coli__Amikacin__Yorkshire and Humber,2.94,False,xgb
2022-05-01,E-coli__Amikacin__Yorkshire and Humber,3.45,False,xgb
2022-06-01,E-coli__Amikacin__Yorkshire and Humber,5.26,False,xgb
2022-07-01,E-coli__Amikacin__Yorkshire and Humber,6.84,False,xgb
2022-08-01,E-coli__Amikacin__Yorkshire and Humber,4.29,False,xgb
2022-09-01,E-coli__Amikacin__Yorkshire and Humber,2.04,False,xgb
2022-10-01,E-coli__Amikacin__Yorkshire and Humber,1.96,False,xgb
2022-11-01,E-coli__Amikacin__Yorkshire and Humber,2.26,False,xgb
2022-12-01,E-coli__Amikacin__Yorkshire and Humber,2.46,False,xgb
2023-01-01,E-coli__Amikacin__Yorkshire and Humber,1.67,False,xgb
2023-02-01,E-coli__Amikacin__Yorkshire and Humber,2.36,False,xgb
2023-03-01,E-coli__Amikacin__Yorkshire and Humber,3.48,False,xgb
2023-04-01,E-coli__Amikacin__Yorkshire and Humber,4.17,False,xgb
